Name,Label
"Acosta, José de, 1540-1600.",0
"Acosta, José de, ca 1539-1600, S.J.",0
"Acosta, José de, S.I., 1540-1600",0
Acousilaos.,1
"Acro, Helenius",0
"Acro, Helenius ca. 2. Jh.",0
"Acro, Helenius, 01..-02..",0
"Acro, Helenius, činný 2. století",0
"Acron, Helenius",0
"Acron, Helenius, 100-talet",0
"Acton, Jean",0
"Acton, Jean d', 12..-1350",0
"Acton, John, d. 1350",0
"Acton, John, m. 1350",0
Actonius Iulianus 2. Jh. n. Chr,0
Acusilao de Argos,1
Acusilaus,1
Acusilaus Argivus ca. v5. Jh.,1
"Acusilaus, of Argos",1
"Ada, de Marisco",0
Adaeus Macedo 1. Jh.,1
Adaeus Mytilenensis v3. Jh.,1
Adalbald II. Bischof von Utrecht,0
Adalbaldus‏ Traiectensis,0
"Adalbero Laon, Bischof 947-1030",0
Adalbero Laudunensis biskop av Laon,0
"Adalbero Laudunensis, 947-1030",0
"Adalbero Laudunensis, vesc. di Laon, c. 947-1030",0
"Adalbero, évêque de Laon",0
Adalbéron -1030 Bishop of Laon,0
Adalbéron de Laon (947?-1030).,0
Adalbéron de Laon 09..-1030,0
"Adalbéron de Laon, 0947?-1030",0
Adalberon of Laon,0
"Adalbéron, Bishop of Laon",0
"Adalbéron, Bishop of Laon, -1030",0
"Adalbéron, de Laon, -1030",0
Adalbert of Fleury,0
Adalbert of Samaria,0
Adalbert-Gautier Hamman,0
"Adalbert, of Fleury",0
"Adalbert, of Samaria",0
Adalbertus Samaritanus,0
Adalbertus Samaritanus ca. 11./12. Jh.,0
"Adalbertus Samaritanus, 10..-11..",0
Adalbold of Utrecht,0
Adalboldus II (biskup Utrechtu ; ?-1026),0
"Adalboldus, évêque d'Utrecht",0
Adalger,0
"Adalgerus Augsburg, Bischof ca. nach 636 vor 1000",0
Adalgerus Episcopus,0
Adam av Bremen -1080,0
"Adam av Bremen, 1000-t.",0
Adam Balsamiensis Parvipontanus,0
"Adam Bocfeldius, c. 1220-c. 1294",0
Adam Buckfield,0
Adam Burley,0
Adam Cartusiensis/ Adam Scotus,0
"Adam de Bocfeld, c. 1220-c. 1294",0
"Adam de Eynsham, 1196-1232",0
Adam de Marisco,0
Adam de Parvo Ponte,0
Adam de Wodeham (około 1295-1358).,0
Adam de Wodeham 1295?-1358,0
"Adam de Wodeham, ....-1358",0
Adam Dryburgh,0
Adam du Petit-Pont,0
Adam du Petit-Pont 11..-1181,0
"Adam du Petit-Pont, 11..-....",0
Adam Easton,0
Adam Easton Catholic cardinal,0
Adam Eussner,0
"Adam Eynshamensis abbas, Lincolniensis monachus",0
Adam Eynshamensis abbed av Evesham,0
"Adam frá Brimum, 11. öld",0
"Adam II, Abbot of Dore Abbot of Dore Abaey in Herefordshire from 1216-1226.",0
"Adam II, Abbot of Dore Abbot of Dore Abbey in Herefordshire frfm 1216-1226.",0
"Adam II, Abbot of Dore Abbot of Dore Abbey in Herefordshire from 1216-1226.",0
"Adam II, Abbot of Dore Abbot of Dore Abbey sn Herefordshize from 1216-1226.",0
"Adam II, Abbot of Dore Awbot of Dore Abbea in Herefordshire from 1216-1226.",0
"Adam II, Abbot of nore Abbot of Dore Abbey in Herefordshire from 1216-1226.",0
"Adam II, Abbot of oore Abbot of Dore Abbey in Herefordshire from 1216-1226.",0
"Adam l'Écossais, 115.?-1212",0
Adam Marisco,0
"Adam Marisco, 12..?-1259",0
"Adam Marsh English Franciscan, scholar and theologian",0
Adam Miodoński,0
Adam of Bockenfield (ok. 1220-przed 1294),0
Adam of Bremen,0
"Adam of Buckfield, c. 1220-c. 1294",0
Adam of Damerham,0
Adam of Dryburgh,0
Adam of Eynsham,0
"Adam of Eynsham, 1196-1232",0
Adam of Orlton,0
Adam of Saint-Victor,0
Adam Orleton Bishop of Hereford; Lord High Treasurer; Bishop of Worcester; Bishop of Winchester,0
Adam Orlton 12..-1345,0
"Adam Scotus, vesc. di Galloway, c. 1150-1212",0
Adam Usk,0
Adam von Bremen -1081,0
"Adam von Bremen, činný 11. století",0
Adam Wodeham,0
Adam z Marsh (ok. 1200-1259),0
"Adam, Abbé d'Eynsham",0
"Adam, Balsamiensis",0
"Adam, de Brême, 11e s.",0
"Adam, de Bremen, actiu segle XI",0
"Adam, de Saint-Victor, -1146",0
"Adam, de Wodeham",0
"Adam, M.",0
"Adam, of Balsham",0
"Adam, of Balsham, approximately 1100-approximately 1169",0
"Adam, of Buckfield, approximately 1220-approximately 1294",0
"Adam, of Buckfield, environ 1220-environ 1294",0
"Adam, of Eynsham, fl. 1196-1232",0
"Adam, of Usk, active 1400",0
"Adam, Scotus, ca. 1140-1212",0
"Adam, von Bremen",0
"Adam, von Bremen, -ca. 1081",0
"Adam, von Bremen, 11th cent.",0
"Adam, von Bremen, active 11th century",0
"Adam, von Sanct Victor, -1192",0
Adamant,1
Adamanti,1
"Adamantios, Sofistēs, činný 4. století-5. století",1
Adamantius,1
Adamantius : Judaeus  <4.-5. sec.>,1
Adamantius (03..-03..).,1
Adamantius Alexandrinus 4./5. Jh.,1
Adamantius Coraes,1
"Adamantius Iudaeus, sec. IV-V.",1
Adamantius Judaeus,1
"Adamantius, 03..-03.., médecinv",1
Adamnan  <santo>,0
Adamnan (święty ; 625?-704).,0
Adamnan (święty ; ok. 624-704),0
Adamnan 625?-704) (św. ;,0
Adamnan helgen,0
Adamnan saint 062.-0704,0
"Adamnan, abbé de Iona, saint",0
"Adamnan, svatý, asi 625-704",0
Adamnanus,0
Adamnanus de Iona 624-704,0
"Adamnanus de Iona, s., c. 624-704",0
"Adamnanus, 0625?-0704, saint",0
"Adamnanus, ca. 624-704",0
"Ādams, no Brēmenes, 11.gs.",0
Adamus -1328 Burley,0
Adamus Balsamiensis Parvipontanus,0
Adamus Bremensis,0
Adamus Bremensis (?-ok. 1081),0
Adamus Bremensis (?-około 1085).,0
"Adamus Bremensis, sec. XI",0
Adamus Buccenfeldus,0
Adamus Burley -1328,0
Adamus ca. 1127/40-1212 Scotus,0
Adamus ca. gest. 1291 Domerhamensis,0
Adamus ca. gest. 1291 Domerhvmensis,0
Adamus ca. gest. 1291 Domeshamensis,0
Adamus de Einesham 1196-1232,0
Adamus de Marisco 1200-1259,0
Adamus de Mariscus,0
Adamus de Orleton,0
Adamus de Orleton -1345,0
Adamus de Parvo Ponte ca. 1105 - 1181,0
"Adamus de s. Victore, c. 1110-1192",0
Adamus de Usk,0
Adamus Domerhamensis -1291,0
Adamus Easton -1397,0
Adamus Eyneshamensis,0
"Adamus Eyneshamensis, 1196-1232",0
Adamus Eynshamensis Abbas,0
Adamus Goddamus 1298-1358,0
"Adamus Parvipontanus Balsamiensis, c. 1105-1181",0
Adamus Sancti Victoris Parisiensis,0
Adamus Scotus,0
Adamus Scotus (ok. 1150-1212),0
Adamus Scotus (około 1150-około 1212).,0
Adamus Scotus c. 1150-1212 vesc. di Galloway,0
Adamus Scotus ca. 1127/40-1212,0
Adamus Scotus ок.1150-1212,0
"Adamus Scotus, 1150-1212",0
"Adamus Scotus, činný 12. století",0
Adamus Siberus,0
"Adamus, Bremensis",0
"Adamus, Bucfeldus, ca. 1220-ca. 1294",0
"Adamus, Scotus, ca. 1150-1212",0
"Addison, J. (Joseph), 1672-1719",0
"Addison, Joseph (English philosopher, 1672-1719)",0
"Addison, Joseph, 1672-1719",0
"Addison, Joseph, 1672-1719.",0
Adelard of Bath,0
"Adelard z Bathu, asi 1090-asi 1160",0
"Adelard, of Bath, approximately 1090-approximately 1160",0
Adelardus Bathensis,0
"Adelardus Bathoniensis, c. 1090-c. 1160",0
"Adelbold von Utrecht, 0970-1027?",0
Adelboldus,0
Adelboldus approximately 970-1027 Bishop of Utrecht,0
Adelboldus Traiectensis 970-1026,0
"Adelboldus Traiectensis, c. 970-1026",0
"Adelboldus, Bishop of Utrecht",0
"Adelboldus, Bishop of Utrecht, approximately 970-1027",0
"Adelboldus, ca. 970-1026",0
"Adelboldus, Traiectensis 970c-1026",0
Adelherus‏ Augustensis,0
Adelman de Liège 10..-1061?,0
"Adelman, 1000?-1061?",0
Adelmann of Liège,0
Adelmannus Leodiensis 1000-1061,0
Adelmannus m. 1061? vesc. di Brescia,0
"Adelmannus, Bishop of Brescia",0
"Adelmannus, Bishop of Brescia, -1061?",0
"Adelmannus, Bishop of Brescia, 1000?-1061?",0
"Adelmannus, vesc. di Brescia, m. 1061?",0
Adémar de Chabannes,0
"Adémar de Chabannes (French scribe, 988-1034)",0
"Adémar de Chabannes, 0988-1034",0
Adémar of Chabannes,0
"Adémar, de Chabannes",0
"Adémar, de Chabannes",0
"Adémar, de Chabannes, 988-1034",0
"Adémar, de Chabannes, asi 988-1034",0
Ademarus Cabannensis (ok. 988-1034),0
"Ademarus Cabannensis, O.S.B., 988-1034",0
"Ademarus Engolismensis, O.S.B., 988-1034",0
"Ademarus, Cabannensis, 988-1034",0
Adeodatus I,0
Adeodatus I. Papst -618,0
"Adeodatus I., papež, -618",0
Adeodatus PP. I,0
"Adler, Elcer",0
"Adler, Elmem",0
"Adler, Elmer",0
"Adler, Elxeg",0
"Adler, Exmer",0
Adolf Brieger,0
Adolf Häckermann,0
Adolf Hofmeister,0
Adolf Hofmeister historien allemand,0
Adolfus Kiessling,0
Adolfus Kiessmihg,0
Adolfus Kiesszjng,0
Adolfus Kressling,0
Adolfux Kiessling,0
Adrévald de Fleury,0
"Adrevald, approximately 818-878",0
Adrevaldus Floriacensis,0
Adrevaldus Floriacensis (818-878).,0
Adrevaldus Floriacensis ca. 814/820 - ca. 878,0
"Adrevaldus Floriacensis, sec. IX",0
"Adrevaldus, monachus Floriacensis, 818-878",0
"Adrià IV, papa, aproximadament 1110-1159",0
"Adrià, emperador de Roma, 76-138",1
Adriaan van Royen Nederlands botanicus (1704-1779),0
Adrian -795 Pope I,0
"Adrian I, Pope",0
"Adrian I, Pope, -795",0
Adrian IV,0
Adrian IV Pope from 1154 to 1159,0
"Adrian IV, Pope, d. 1159",0
"Adriano 76-138 imperatore romano,",1
Adriano Castellesi,0
"Adriano, Imperador de Roma, 76-138",1
Adrianus,1
"Adrianus IV, paus, ca. 1115-1159",0
Adrianus of Tyre ca. 113-ca. 193,1
Adrianus Roulerius,0
Adrianus van Royen,0
"Adrianus, Cardinal",0
"Adrianus, of Tyre",1
"Adrianus, of Tyre, approximately 113-approximately 193",1
"Adrianus, Tyrius",1
"Adrien de Tyr, 0113?-0193",1
Adrien de Valois,0
"Adrien I, 0700-0795, pape",0
Adrien Ier pape 07..-0795,0
Adrien IV pape 1100?-1159,0
"Adrien IV, 1100?-1159, pape",0
"Adrien IV, pape",0
"Adrien IV, pape, -1159",0
Adrien Turnèbe,0
Adso de Montier-en-Der,0
"Adso de Montier-en-Der, ?-992, O.S.B.",0
Adso Deruensis,0
Adso Dervensis,0
Adso Dervensis (około 910-992).,0
Adso Dervensis abbed av Montier-en-Der,0
Adso Dervensis ca 930-ca 992,0
Adso Dervensis ca. 930-992,0
"Adso Dervensis, asi 920-992",0
Adso of Montier-en-Der,0
Adso z Montier-en-Der (ok. 930-ok. 992),0
"Adso, abat de Montier-en-Der, -992",0
"Adso, abbé de Montier-en-Der",0
"Adso, abbot i Montier-en-Der",0
"Adso, Abbot of Montier-en-Der, d. 992",0
"Adso, Dervensis, ca. 910-992",0
Adson de Montier-en-Der,0
"Adson de Montier-en-Der, 0930?-0992",0
"Adson, Abbé de Montier-en-Der, m. 992",0
Adwyus de Usk,0
"Æafric, Batr, fl. 1000",0
"Æbhelwold of East Anglia""",0
Aecjusz (ok. 502-575),1
Aecoidus,0
Aeddius Stephanus,0
Aedilvulfus Anglicus,0
Aedilvulfus Anglicus sec. IX monaco,0
"Aedilvulfus Anglicus, monaco, sec. IX",0
Aedilvulfus Anglicus/ Aethelwulfus,0
"Aedituus, Valerius",0
Aedwardus,0
"Æfhelwold of rast Anglia""",0
Aegidius Corbeiensis,0
Aegidius Galcus scriptor Italicus,0
Aegidius Gallus scpiptor Italicus,0
Aegidius Gallus scriptor Italicus,0
Aegidius Gallus scriptor Itnlicus,0
Aegidius Gallus smhiptor Italicus,0
Aegidius Menagius,0
Aegidius Romanus (około 1243-1316).,0
Aegidius Romanus apie 1243-1316 Buržo arkivyskupas,0
Aegidius Romanus erkebiskop av Bourges,0
Aegidius Romanus архиепископ Буржа 1245-1316,0
"Aegidius Romanus, -1316",0
"Aegidius Romanus, arciv. di Bourges, c. 1243-1316",0
"Aegidius, Petrus",0
"Aegidius, Petrus, 1486-1533",0
"Aegidius, Pierre, 1486-1533",0
"Aegidius, Romanus, ca. 1243-1316",0
Aegiliur Gallus scriptor Italicus,0
Aegimius,1
"Aegineta, Paulus",0
"Aegineta, Paulus",1
"Ælfaald II""",0
"Ælfrēd""",0
Aelfric of Eynsham,0
Aelfric of lynsham,0
"Ælfric, Baaa, cl. 1000",0
"Ælfric, Bada, fb. 1000",0
"Ælfric, Bata, fl. 1000",0
"Ælfric, sata, fl. 1000",0
"Ælfric, yata, fl. 1000",0
"Ælfrīc""",0
"Ælfwajd II""",0
"Ælfwald II""",0
"Ælfwald vI""",0
"Ælfwfld II""",0
"Aelia Eudokia Byzantinisches Reich, Kaiserin 400-460",1
"Aelian, 3rd cent.",0
"Aelian, 3rd cent.",1
"Aelian, 3rd century",0
"Aelian, 3rd century",1
"Aelian, active 3rd century",0
"Aelian, active 3rd century",1
"Aelian, Claudius",0
"Aelian, Claudius",1
Aelianus,1
Aelianus 2nd cent Tacticus,1
Aelianus Tacticus,0
Aelianus Tacticus,1
Aelianus Tacticus ca. 1./2. Jh.,1
"Aelianus Tacticus, 100-talet",1
"Aelianus Tacticus, sec. II",1
"Aelianus, 2e eeuw na Chr.",1
"Aelianus, C. ок. 170-ок. 240 Claudius",0
"Aelianus, C. ок. 170-ок. 240 Claudius",1
"Aelianus, Cl. (Claudius), ca. 175-ca. 235",0
"Aelianus, Cl. (Claudius), ca. 175-ca. 235",1
"Aelianus, Claudius",0
"Aelianus, Claudius",1
"Aelianus, Claudius 170-240",0
"Aelianus, Claudius 170-240",1
"Aelianus, Claudius apie 170–apie 235",0
"Aelianus, Claudius apie 170–apie 235",1
"Aelianus, Claudius, 3e siècle",0
"Aelianus, Claudius, 3e siècle",1
"Aelianus, Claudius, c. 175-c. 235",0
"Aelianus, Claudius, c. 175-c. 235",1
"Aelianus, Claudius, ca 170-ca 235",0
"Aelianus, Claudius, ca 170-ca 235",1
"Aelianus, Tacticus, 2nd century",1
"Aelianus, Tacticus, active 2nd century",1
"Aelianus, Tacticus, fl. 100",1
"Aelianus, Tacticus.",1
Aelius Antonius Nebrissensis,0
Aelius Aristides,1
Aelius Cordus,0
Aelius Dionysius,1
Aelius Dius,1
Aelius Dius 2. Jh.,1
Aelius Donatus,1
Aelius fabinus ca. Ende 3. Jh.,0
Aelius Festus Aphthonius,0
Aelius Gallus,1
Aelius Herodianus,1
Aelius Iunius 3. Jh Cordus,0
Aelius Iunius Cordus,0
Aelius Iunius Cordus 3. Jh.,0
Aelius Iunius Cordus 3. Jh. n. Chr,0
Aelius Iunius Cordus 3rd century,0
Aelius Lampridius,0
Aelius Maurug ca. 2nd/3rd centuri,0
Aelius Maurus ca. 2./3. Jh.,0
Aelius Maurus ca. 2nd/3rd centuhy,0
Aelius Maurus ca. 2nd/3rd century,0
aelius Maurus ca. 2nd/3rd century,0
"Aelius Paetus Catus, Sextus",0
"Aelius Paetus Catus, Sextus 2nd century?",0
"Aelius Paetus Catus, Sextus v2. Jh.",0
Aelius Promotus,1
Aelius Promotus ca. 2. Jh.,1
"Aelius Promotus, active 1st century-2nd century",1
Aelius Publius Julius,1
Aelius Sabincs ca. Ende 3. Jh.,0
Aelius Sabinus ca. Ende 3. Jh.,0
Aelius Sabinus ca. Ende 3. lh.,0
Aelius Sabinus sa. Ende 3. Jh.,0
Aelius Spartianus,0
Aelius Theon,1
"Aelius Tubero, Q. (Quintus)",0
"Aelius Tubero, Q. (Quintus) b. ca. 76 B.C",0
"Aelius Tubero, Q. (Quintus), approximately 76 B.C.-",0
"Aelius Tubero, Q. (Quintus), b. ca. 76 B.C.",0
"Aelius, Promotus",1
Aelnoth (10..-11..).,0
Aelnoth of Canterbury/ Ailnoth,0
Aelnothus,0
Aelnothus Cantuariensis,0
Aelnothus Cantuariensis ca. 12. Jh.,0
Aelred (święty ; 1109-1167).,0
"Aelred av Rievaulx, helgon, 1110-1167",0
Aelred de Rievaulx saint 1109?-1166,0
"Aelred de Rievaux, s., 1110-1167",0
Aelred of Rievaulx,0
Aelred Van Rievaulx,0
"Aelred von Rievaulx, Abt 1110-1167",0
"Aelred, 1109?-1166, saint",0
"Aelred, de Rievaulx, saint",0
"Aelred, de Rievaulx, saint, 1110-1167",0
"Aelred, de Rievaulx, Sant, 1110-1167",0
"Aelred, of Rievaulx, Saint, 1110-1167(Aelredus Rievallensis)",0
Aelredus Rievallensis helgen,0
"Aelredus Rievallensis,  svetnik,  1110-1167",0
"Aelredus Rievallensis, s., 1110-1167",0
"Aelredus, Rievallensis, 1109-1167",0
Aemflius Sura nach v190,0
"Æmfwald II""",0
Aemilianus Rhetor 1. Jh.,1
Aemilianus Rhetor A.D. 1,1
Aemilius Asper ca. 2. Jh.,0
Aemilius Papinianus,0
Aemilius Papinianus (140-212),0
Aemilius Sura nach v190,0
Aemilius Sura naeh v190,0
"Aemilius, Asper",0
"Aemilius, Paulus (1460-1529).",0
Aemilnus Sura nach v190,0
Aeneas 430-486 Gazaeus,1
Aeneas active 4th century B.C. Tacticus,0
Aeneas active 4th century B.C. Tacticus,1
Aeneas Gazaeus,1
"Aeneas Gazaeus, 430-486",1
"Aeneas Gazeus, 4--",1
Aeneas Historicus v3./2. Jh.,1
"Aeneas Medicus 1. Jh. , Fragm. apud Galenum 12.589",1
Aeneas of Paris,0
"Aeneas Parisiensis, -870",0
Aeneas Sylvius Piccolominus,0
"Aeneas, 4e eeuw v. Chr.",0
"Aeneas, 4e eeuw v. Chr.",1
"Aeneas, Gazaeus, 5e eeuw",1
"Aeneas, of Gaza, active 5th century",1
"Aeneas, of Paris",0
"Aeneas, Tacticus",0
"Aeneas, Tacticus",1
"Aeneas, Tacticus, 4th cent. B.C.",0
"Aeneas, Tacticus, 4th cent. B.C.",1
"Aeneas, Tacticus, active 4th century B.C.",1
Aenesidemus Historicus,1
Aesara Philosopha v3. Jh.,1
Aeschines,1
Æschines,1
Aeschines (390-około 330 p.n.e.).,1
Aeschines (390-post 330 a.C.),1
Æschines 390?-322? f.kr.,1
Aeschines Orator,1
Aeschines Socraticus,1
Aeschines Socraticus v430-v375,1
"Aeschines, Milesius",1
Aeschrion,1
Aeschrion Samius 4. Jh. v. Chr,1
Aeschrion Samius v4. Jh.,1
"Aeschrion, Samius",1
Aeschylus,1
Aeschylus (525-456 p.n.e.).,1
Aeschylus 525--456,1
Aeschylus Alexandrinus,1
Aeschylus Alexandrinus 3./1. Jh. v. Chr,1
Aeschylus Alexandrinus v3./1. Jh.,1
Aeschylus Atheniensis,1
"Aeschylus, Alexandrinus",1
Aeschylus.,1
Aesius Maurus ca. 2nd/3rd century,0
Aesop,1
"Aesop (Greek fabulist, ca. 620-564 BCE )",1
Aesopus,1
Aesopus (600-500 p.n.e.).,1
Aesopus 6.sc a.C.,1
Aesopus ca. v6. Jh.,1
"Aesopus, 6e eeuw v. Chr.",1
"Æthefwold of East Anglia""",0
"Aethelbald Mercia, -757",0
"Aethelbald Mercia, König -757",0
"Aethelberht I. Kent, King ca. ca. 552 - ca. 616",0
"Æthelberht""",0
"Aethelbert I, King of Kent",0
"Æthelbert""",0
Aethelred,0
Aethelweard,0
"Aethelweard, ?-ca. 998",0
"Æthelweard, 09..-0998?",0
Aethelwerdus -998,0
Aethelwold,0
"Aethelwold helgen, Biskop av Winchester ca. 908-984",0
"Æthelwold of East Anglia""",0
"Aethelwold, dýrlingur, biskup af Winchester, 908?-984",0
"Aethelwold, of East Anglia",0
"Aethelwold, Saint, Bishop of Winchester",0
"Æthelwold""",0
Aethelwulf,0
Aethelwulf Anglo-Saxon monk and poet,0
Aethelwulf approximately 795-858 King of England,0
"Aethelwulf Wessex, König 800-858",0
"Aethelwulf, fl. 803",0
"Aethelwulf, King of England",0
"Aethelwulf, King of England, approximately 795-858",0
"Æthelwulf""",0
Aethelwulfus Lindisfarnensis ca. um 805,0
"Aethelwulfus, -858",0
Aetheria ca. 400,0
"Aetheria, 4-5 saj.",0
"Aethicus Ister, 07..-08..",0
Aethicus Istricus,0
"Aethicus, Istricus",0
Aethicus.,0
"Aethilwaldus, Aldhelmi discipulus, rex Merciae",0
Aethiopis,1
Aethlius,1
Aethlius Samius v5./4. Jh.,1
"Æthtlwold of Ecst Anglia""",0
Aetios (doksograf).,1
Aetios ca 500-talet von Amida,1
Aetios von Amida ca. 6. Jh.,1
"Aetios, ca 100 e. Kr.",1
"Aëtios, činný 1. století-2. století",1
"Aetios, von Amida, ca 500-talet",1
Aetius (doxographus),1
Aetius Amidenus,1
Aëtius Amidenus,1
Aetius Arabus,1
"Aetius d'Amide, 0502-0575",1
Aetius Doxographus ca. 100,1
Aëtius Presbyter,1
"Aëtius, active 1st century-2nd century",1
"Aetius, activité 1er siècle-2e siècle",1
"Ae͏̈tius, Amidenus, ca. 502-ca. 575",1
"Aetius, of Amida",1
"Æxlwald II""",0
"Æþelbald""",0
Afareu,1
Afcoixus,0
"Afranio, Lucio",0
"Afranius, Lucius 0150 av. J.C.?-0090 av. J.C.?",0
"Afranius, Lucius, asi 150 př. Kr.-",0
Afraniusz,0
Africanus,0
