DLL ID,Authorized Name,Variant Names,Latin
A5425,"Adalbert, of Samaria","Adalbertus Samaritanus, 10..-11..",1
A5429,"Adelboldus, Bishop of Utrecht",Adalbold of Utrecht,1
A5429,"Adelboldus, Bishop of Utrecht",Adalboldus II (biskup Utrechtu ; ?-1026),1
A5429,"Adelboldus, Bishop of Utrecht","Adalboldus, évêque d'Utrecht",1
A5432,Adalger,Adalger,1
A5432,Adalger,"Adalgerus Augsburg, Bischof ca. nach 636 vor 1000",1
A5432,Adalger,Adalgerus Episcopus,1
A5420,"Adam, von Bremen",Adam av Bremen -1080,1
A5420,"Adam, von Bremen","Adam av Bremen, 1000-t.",1
A5428,"Adam, of Balsham",Adam Balsamiensis Parvipontanus,1
A4199,"Adam, of Buckfield, approximately 1220-approximately 1294","Adam Bocfeldius, c. 1220-c. 1294",1
A4199,"Adam, of Buckfield, approximately 1220-approximately 1294",Adam Buckfield,1
A4180,"Burley, Adam",Adam Burley,1
A4207,"Adam, Scotus, approximately 1130-1212",Adam Cartusiensis/ Adam Scotus,1
A4199,"Adam, of Buckfield, approximately 1220-approximately 1294","Adam de Bocfeld, c. 1220-c. 1294",1
A4220,"Adam, of Eynsham, active 1196-1232","Adam de Eynsham, 1196-1232",1
A4372,"Marsh, Adam, -1259",Adam de Marisco,1
A5428,"Adam, of Balsham",Adam de Parvo Ponte,1
A4178,"Wodeham, Adam, -1358",Adam de Wodeham (około 1295-1358).,1
A4178,"Wodeham, Adam, -1358",Adam de Wodeham 1295?-1358,1
A4178,"Wodeham, Adam, -1358","Adam de Wodeham, ....-1358",1
A4207,"Adam, Scotus, approximately 1130-1212",Adam Dryburgh,1
A5428,"Adam, of Balsham",Adam du Petit-Pont,1
A5428,"Adam, of Balsham",Adam du Petit-Pont 11..-1181,1
A5428,"Adam, of Balsham","Adam du Petit-Pont, 11..-....",1
A4210,"Easton, Adam, -1397",Adam Easton,1
A4210,"Easton, Adam, -1397",Adam Easton Catholic cardinal,1
A3528,"Eussner, Adam, 1844-",Adam Eussner,1
A4220,"Adam, of Eynsham, active 1196-1232","Adam Eynshamensis abbas, Lincolniensis monachus",1
A4220,"Adam, of Eynsham, active 1196-1232",Adam Eynshamensis abbed av Evesham,1
A5420,"Adam, von Bremen","Adam frá Brimum, 11. öld",1
A4243,"Adam II, Abbot of Dore, active 1216-1226","Adam II, Abbot of Dore Abbot of Dore Abbey in Herefordshire from 1216-1226.",1
A4207,"Adam, Scotus, approximately 1130-1212","Adam l'Écossais, 115.?-1212",1
A4372,"Marsh, Adam, -1259",Adam Marisco,1
A4372,"Marsh, Adam, -1259","Adam Marisco, 12..?-1259",1
A4372,"Marsh, Adam, -1259","Adam Marsh English Franciscan, scholar and theologian",1
A3469,"Miodoński, Adam Stefan, 1861-1913",Adam Miodoński,1
A4199,"Adam, of Buckfield, approximately 1220-approximately 1294",Adam of Bockenfield (ok. 1220-przed 1294),1
A5420,"Adam, von Bremen",Adam of Bremen,1
A4199,"Adam, of Buckfield, approximately 1220-approximately 1294","Adam of Buckfield, c. 1220-c. 1294",1
A4196,"Adam, of Domerham, active 13th century",Adam of Damerham,1
A4207,"Adam, Scotus, approximately 1130-1212",Adam of Dryburgh,1
A4220,"Adam, of Eynsham, active 1196-1232",Adam of Eynsham,1
A4220,"Adam, of Eynsham, active 1196-1232","Adam of Eynsham, 1196-1232",1
A4188,"Orleton, Adam de, -1345",Adam of Orlton,1
A5416,"Adam, de Saint-Victor, -1146",Adam of Saint-Victor,1
A4188,"Orleton, Adam de, -1345",Adam Orleton Bishop of Hereford; Lord High Treasurer; Bishop of Worcester; Bishop of Winchester,1
A4188,"Orleton, Adam de, -1345",Adam Orlton 12..-1345,1
A4207,"Adam, Scotus, approximately 1130-1212","Adam Scotus, vesc. di Galloway, c. 1150-1212",1
A4197,"Adam, of Usk, active 1400",Adam Usk,1
A5420,"Adam, von Bremen",Adam von Bremen -1081,1
A5420,"Adam, von Bremen","Adam von Bremen, činný 11. století",1
A4178,"Wodeham, Adam, -1358",Adam Wodeham,1
A4372,"Marsh, Adam, -1259",Adam z Marsh (ok. 1200-1259),1
A4220,"Adam, of Eynsham, active 1196-1232","Adam, Abbé d'Eynsham",1
A5428,"Adam, of Balsham","Adam, Balsamiensis",1
A5420,"Adam, von Bremen","Adam, de Brême, 11e s.",1
A5420,"Adam, von Bremen","Adam, de Bremen, actiu segle XI",1
A5416,"Adam, de Saint-Victor, -1146","Adam, de Saint-Victor, -1146",1
A4178,"Wodeham, Adam, -1358","Adam, de Wodeham",1
A5420,"Adam, von Bremen","Adam, M.",1
A5428,"Adam, of Balsham","Adam, of Balsham",1
A5428,"Adam, of Balsham","Adam, of Balsham, approximately 1100-approximately 1169",1
A4199,"Adam, of Buckfield, approximately 1220-approximately 1294","Adam, of Buckfield, approximately 1220-approximately 1294",1
A4199,"Adam, of Buckfield, approximately 1220-approximately 1294","Adam, of Buckfield, environ 1220-environ 1294",1
A4220,"Adam, of Eynsham, active 1196-1232","Adam, of Eynsham, fl. 1196-1232",1
A4197,"Adam, of Usk, active 1400","Adam, of Usk, active 1400",1
A4207,"Adam, Scotus, approximately 1130-1212","Adam, Scotus, ca. 1140-1212",1
A5420,"Adam, von Bremen","Adam, von Bremen",1
A5420,"Adam, von Bremen","Adam, von Bremen, -ca. 1081",1
A5420,"Adam, von Bremen","Adam, von Bremen, 11th cent.",1
A5420,"Adam, von Bremen","Adam, von Bremen, active 11th century",1
A5416,"Adam, de Saint-Victor, -1146","Adam, von Sanct Victor, -1192",1
A5424,"Adamnan, Saint",Adamnan  <santo>,1
A5424,"Adamnan, Saint",Adamnan (święty ; 625?-704).,1
A5424,"Adamnan, Saint",Adamnan (święty ; ok. 624-704),1
A5424,"Adamnan, Saint",Adamnan 625?-704) (św. ;,1
A5424,"Adamnan, Saint",Adamnan helgen,1
A5424,"Adamnan, Saint",Adamnan saint 062.-0704,1
A5424,"Adamnan, Saint","Adamnan, abbé de Iona, saint",1
A5424,"Adamnan, Saint","Adamnan, svatý, asi 625-704",1
A5424,"Adamnan, Saint",Adamnanus,1
A5424,"Adamnan, Saint",Adamnanus de Iona 624-704,1
A5424,"Adamnan, Saint","Adamnanus de Iona, s., c. 624-704",1
A5424,"Adamnan, Saint","Adamnanus, 0625?-0704, saint",1
A5424,"Adamnan, Saint","Adamnanus, ca. 624-704",1
A5420,"Adam, von Bremen","Ādams, no Brēmenes, 11.gs.",1
A4180,"Burley, Adam",Adamus -1328 Burley,1
A5428,"Adam, of Balsham",Adamus Balsamiensis Parvipontanus,1
A5420,"Adam, von Bremen",Adamus Bremensis,1
A5420,"Adam, von Bremen",Adamus Bremensis (?-ok. 1081),1
A5420,"Adam, von Bremen",Adamus Bremensis (?-około 1085).,1
A5420,"Adam, von Bremen","Adamus Bremensis, sec. XI",1
A4199,"Adam, of Buckfield, approximately 1220-approximately 1294",Adamus Buccenfeldus,1
A4180,"Burley, Adam",Adamus Burley -1328,1
A4207,"Adam, Scotus, approximately 1130-1212",Adamus ca. 1127/40-1212 Scotus,1
A4196,"Adam, of Domerham, active 13th century",Adamus ca. gest. 1291 Domerhamensis,1
A4220,"Adam, of Eynsham, active 1196-1232",Adamus de Einesham 1196-1232,1
A4372,"Marsh, Adam, -1259",Adamus de Marisco 1200-1259,1
A4372,"Marsh, Adam, -1259",Adamus de Mariscus,1
A4188,"Orleton, Adam de, -1345",Adamus de Orleton,1
A4188,"Orleton, Adam de, -1345",Adamus de Orleton -1345,1
A5428,"Adam, of Balsham",Adamus de Parvo Ponte ca. 1105 - 1181,1
A5416,"Adam, de Saint-Victor, -1146","Adamus de s. Victore, c. 1110-1192",1
A4197,"Adam, of Usk, active 1400",Adamus de Usk,1
A4196,"Adam, of Domerham, active 13th century",Adamus Domerhamensis -1291,1
A4210,"Easton, Adam, -1397",Adamus Easton -1397,1
A4220,"Adam, of Eynsham, active 1196-1232",Adamus Eyneshamensis,1
A4220,"Adam, of Eynsham, active 1196-1232","Adamus Eyneshamensis, 1196-1232",1
A4220,"Adam, of Eynsham, active 1196-1232",Adamus Eynshamensis Abbas,1
A4178,"Wodeham, Adam, -1358",Adamus Goddamus 1298-1358,1
A5428,"Adam, of Balsham","Adamus Parvipontanus Balsamiensis, c. 1105-1181",1
A5416,"Adam, de Saint-Victor, -1146",Adamus Sancti Victoris Parisiensis,1
A4207,"Adam, Scotus, approximately 1130-1212",Adamus Scotus,1
A4207,"Adam, Scotus, approximately 1130-1212",Adamus Scotus (ok. 1150-1212),1
A4207,"Adam, Scotus, approximately 1130-1212",Adamus Scotus (około 1150-około 1212).,1
A4207,"Adam, Scotus, approximately 1130-1212",Adamus Scotus c. 1150-1212 vesc. di Galloway,1
A4207,"Adam, Scotus, approximately 1130-1212",Adamus Scotus ca. 1127/40-1212,1
A4207,"Adam, Scotus, approximately 1130-1212",Adamus Scotus ок.1150-1212,1
A4207,"Adam, Scotus, approximately 1130-1212","Adamus Scotus, 1150-1212",1
A4207,"Adam, Scotus, approximately 1130-1212","Adamus Scotus, činný 12. století",1
A3825,"Siber, Adam, 1515-1583",Adamus Siberus,1
A5420,"Adam, von Bremen","Adamus, Bremensis",1
A4199,"Adam, of Buckfield, approximately 1220-approximately 1294","Adamus, Bucfeldus, ca. 1220-ca. 1294",1
A4207,"Adam, Scotus, approximately 1130-1212","Adamus, Scotus, ca. 1150-1212",1
A4752,"Addison, Joseph","Addison, J. (Joseph), 1672-1719",1
A4752,"Addison, Joseph","Addison, Joseph (English philosopher, 1672-1719)",1
A4752,"Addison, Joseph","Addison, Joseph, 1672-1719",1
A4752,"Addison, Joseph","Addison, Joseph, 1672-1719.",1
A4480,"Adelard, of Bath, approximately 1090-approximately 1160",Adelard of Bath,1
A4480,"Adelard, of Bath, approximately 1090-approximately 1160","Adelard z Bathu, asi 1090-asi 1160",1
A4480,"Adelard, of Bath, approximately 1090-approximately 1160","Adelard, of Bath, approximately 1090-approximately 1160",1
A4480,"Adelard, of Bath, approximately 1090-approximately 1160",Adelardus Bathensis,1
A4480,"Adelard, of Bath, approximately 1090-approximately 1160","Adelardus Bathoniensis, c. 1090-c. 1160",1
A5429,"Adelboldus, Bishop of Utrecht","Adelbold von Utrecht, 0970-1027?",1
A5429,"Adelboldus, Bishop of Utrecht",Adelboldus,1
A5429,"Adelboldus, Bishop of Utrecht",Adelboldus approximately 970-1027 Bishop of Utrecht,1
A5429,"Adelboldus, Bishop of Utrecht",Adelboldus Traiectensis 970-1026,1
A5429,"Adelboldus, Bishop of Utrecht","Adelboldus Traiectensis, c. 970-1026",1
A5429,"Adelboldus, Bishop of Utrecht","Adelboldus, Bishop of Utrecht",1
A5429,"Adelboldus, Bishop of Utrecht","Adelboldus, Bishop of Utrecht, approximately 970-1027",1
A5429,"Adelboldus, Bishop of Utrecht","Adelboldus, ca. 970-1026",1
A5429,"Adelboldus, Bishop of Utrecht","Adelboldus, Traiectensis 970c-1026",1
A5432,Adalger,Adelherus‏ Augustensis,1
A5431,"Adelmannus, Bishop of Brescia",Adelman de Liège 10..-1061?,1
A5431,"Adelmannus, Bishop of Brescia","Adelman, 1000?-1061?",1
A5431,"Adelmannus, Bishop of Brescia",Adelmann of Liège,1
A5431,"Adelmannus, Bishop of Brescia",Adelmannus Leodiensis 1000-1061,1
A5431,"Adelmannus, Bishop of Brescia",Adelmannus m. 1061? vesc. di Brescia,1
A5431,"Adelmannus, Bishop of Brescia","Adelmannus, Bishop of Brescia",1
A5431,"Adelmannus, Bishop of Brescia","Adelmannus, Bishop of Brescia, -1061?",1
A5431,"Adelmannus, Bishop of Brescia","Adelmannus, Bishop of Brescia, 1000?-1061?",1
A5431,"Adelmannus, Bishop of Brescia","Adelmannus, vesc. di Brescia, m. 1061?",1
A5415,"Adémar, de Chabannes",Adémar de Chabannes,1
A5415,"Adémar, de Chabannes","Adémar de Chabannes (French scribe, 988-1034)",1
A5415,"Adémar, de Chabannes","Adémar de Chabannes, 0988-1034",1
A5415,"Adémar, de Chabannes",Adémar of Chabannes,1
A5415,"Adémar, de Chabannes","Adémar, de Chabannes",1
A5415,"Adémar, de Chabannes","Adémar, de Chabannes",1
A5415,"Adémar, de Chabannes","Adémar, de Chabannes, 988-1034",1
A5415,"Adémar, de Chabannes","Adémar, de Chabannes, asi 988-1034",1
A5415,"Adémar, de Chabannes",Ademarus Cabannensis (ok. 988-1034),1
A5415,"Adémar, de Chabannes","Ademarus Cabannensis, O.S.B., 988-1034",1
A5415,"Adémar, de Chabannes","Ademarus Engolismensis, O.S.B., 988-1034",1
A5415,"Adémar, de Chabannes","Ademarus, Cabannensis, 988-1034",1
A5332,"Deusdedit, Pope",Adeodatus I,1
A5332,"Deusdedit, Pope",Adeodatus I. Papst -618,1
A5332,"Deusdedit, Pope","Adeodatus I., papež, -618",1
A5332,"Deusdedit, Pope",Adeodatus PP. I,1
A6146,"Adler, Elmer, 1884-1962","Adler, Elmer",1
A6188,"Brieger, Adolf, 1832-1912",Adolf Brieger,1
A6212,"Häckermann, Adolf 1819-",Adolf Häckermann,1
A6223,"Hofmeister, Adolf, 1883-1956",Adolf Hofmeister,1
A6223,"Hofmeister, Adolf, 1883-1956",Adolf Hofmeister historien allemand,1
A5973,"Kiessling, Adolf, 1837-1892",Adolfus Kiessling,1
A5422,"Adalbert, of Fleury",Adrévald de Fleury,1
A5422,"Adalbert, of Fleury","Adrevald, approximately 818-878",1
A5422,"Adalbert, of Fleury",Adrevaldus Floriacensis,1
A5422,"Adalbert, of Fleury",Adrevaldus Floriacensis (818-878).,1
A5422,"Adalbert, of Fleury",Adrevaldus Floriacensis ca. 814/820 - ca. 878,1
A5422,"Adalbert, of Fleury","Adrevaldus Floriacensis, sec. IX",1
A5422,"Adalbert, of Fleury","Adrevaldus, monachus Floriacensis, 818-878",1
A3966,"Adrian IV, Pope, -1159","Adrià IV, papa, aproximadament 1110-1159",1
A4632,"Hadrian, Emperor of Rome","Adrià, emperador de Roma, 76-138",1
A3836,"Royen, Adrianus van, 1704-1779",Adriaan van Royen Nederlands botanicus (1704-1779),1
A4391,"Adrian I, Pope",Adrian -795 Pope I,1
A4391,"Adrian I, Pope","Adrian I, Pope",1
A4391,"Adrian I, Pope","Adrian I, Pope, -795",1
A3966,"Adrian IV, Pope, -1159",Adrian IV,1
A3966,"Adrian IV, Pope, -1159",Adrian IV Pope from 1154 to 1159,1
A3966,"Adrian IV, Pope, -1159","Adrian IV, Pope, d. 1159",1
A4632,"Hadrian, Emperor of Rome","Adriano 76-138 imperatore romano,",1
A5473,"Castellesi, Adriano, approximately 1461-",Adriano Castellesi,1
A4632,"Hadrian, Emperor of Rome","Adriano, Imperador de Roma, 76-138",1
A3966,"Adrian IV, Pope, -1159","Adrianus IV, paus, ca. 1115-1159",1
A3829,"Roulers, Adrien de",Adrianus Roulerius,1
A3836,"Royen, Adrianus van, 1704-1779",Adrianus van Royen,1
A5473,"Castellesi, Adriano, approximately 1461-","Adrianus, Cardinal",1
A5984,"Valois, Adrien de, 1607-1692",Adrien de Valois,1
A4391,"Adrian I, Pope","Adrien I, 0700-0795, pape",1
A4391,"Adrian I, Pope",Adrien Ier pape 07..-0795,1
A3966,"Adrian IV, Pope, -1159",Adrien IV pape 1100?-1159,1
A3966,"Adrian IV, Pope, -1159","Adrien IV, 1100?-1159, pape",1
A3966,"Adrian IV, Pope, -1159","Adrien IV, pape",1
A3966,"Adrian IV, Pope, -1159","Adrien IV, pape, -1159",1
A6000,"Turnèbe, Adrien, 1512-1565",Adrien Turnèbe,1
A5551,"Adso, Abbot of Montier-en-Der, -992",Adso de Montier-en-Der,1
A5551,"Adso, Abbot of Montier-en-Der, -992","Adso de Montier-en-Der, ?-992, O.S.B.",1
A5551,"Adso, Abbot of Montier-en-Der, -992",Adso Deruensis,1
A5551,"Adso, Abbot of Montier-en-Der, -992",Adso Dervensis,1
A5551,"Adso, Abbot of Montier-en-Der, -992",Adso Dervensis (około 910-992).,1
A5551,"Adso, Abbot of Montier-en-Der, -992",Adso Dervensis abbed av Montier-en-Der,1
A5551,"Adso, Abbot of Montier-en-Der, -992",Adso Dervensis ca 930-ca 992,1
A5551,"Adso, Abbot of Montier-en-Der, -992",Adso Dervensis ca. 930-992,1
